% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=917597, Mon May 13 08:32:14 2019, <python>{}</python>
1 10 0.9105318016877685 0 0 0.9206304485792115 0.8900209222714279 0.8895907625070558 0.9065326393453481 0.8962695476052676 0.8794372173316881 0.9182921855826834 0.9095492644966058 0.9228906904317479
2 20 0.8635977746302586 0 0 0.8704586348483925 0.8777227560531659 0.8397337016726186 0.8588668292694691 0.833958605244912 0.8184997197194137 0.8630338640122944 0.8537467217869182 0.8544055131247889
94 940 0.5916969052756154 0 0 0.4063012343851056 0.4952209834532127 0.46188935339570075 0.6661298661225636 0.5841890649310882 0.5596278177203683 0.3653215320591316 0.5908351664849065 0.7000964742635329
3 30 0.817050404202152 0 0 0.8149343854363486 0.8045681543953493 0.7868511492105105 0.7904607531297091 0.785433394180973 0.7968129427701508 0.8160532852701058 0.8001519032043899 0.8041415784194371
4 40 0.8104116336737616 0 0 0.8143129617192127 0.7679837301156801 0.7908524845057805 0.8027623464936848 0.7906196391660772 0.7840489286849203 0.810438633543522 0.7923763942827105 0.7687763229782054
5 50 0.7698362769587426 0 0 0.7536216092835438 0.708673986388643 0.7480523747653393 0.7537128028807409 0.786485197659021 0.7498434087945671 0.7753121478611628 0.7626552222218733 0.7307962280030841
95 950 0.5782647699313231 0 0 0.39514859457093654 0.47951554704975696 0.4499374220323071 0.6498765212673215 0.5640522103534567 0.5403321293060307 0.36825486491045395 0.5630359599803594 0.6757806215245252
6 60 0.8608469263172674 0 0 0.8385845704878425 0.801427518936171 0.8929104861248679 0.8368189604104364 0.8900006578483685 0.8301275522352884 0.8753095797705166 0.9316487717470331 0.7840158342660788
7 70 0.8462915098984781 0 0 0.8181274387153669 0.7801703243183362 0.8777089782489378 0.790489421443178 0.8772760163031094 0.8118483164968913 0.8457363700913643 0.9035295975760869 0.7706132383563664
8 80 0.8334946632266013 0 0 0.7875509544279184 0.7718656915440779 0.8558145321224351 0.7933061342225597 0.8559751517229601 0.7813948746409537 0.8202420385396381 0.8950156528363425 0.7584168701399047
96 960 0.5605979518872548 0 0 0.3819070360800277 0.4649396556890533 0.4302349934659693 0.6186829931354813 0.5411853484599408 0.5183504129624865 0.3595230966539063 0.5221823569805786 0.6537078825153333
9 90 0.8306341193470074 0 0 0.8188228766027863 0.7581000560655511 0.8523516623014298 0.7538911188372561 0.8516958602514 0.7996913477868729 0.8023990605047784 0.90040630159753 0.7628815194573586
10 100 0.9217620828080658 0 0 0.9475022459097445 0.8512697856977368 0.94724278522426 0.8435673203738484 1.0191497808609538 0.871897038554286 0.8641570005678153 1.0157293772738898 0.8356037560355303
97 970 0.5807540950385384 0 0 0.4063830972350172 0.47871975992789495 0.44820108489633675 0.647843965610217 0.559078529157576 0.5411114306138285 0.3690107657466444 0.546897171913382 0.6702694341980223
11 110 0.9271436388965507 0 0 0.9301349235068851 0.8520066513271465 0.9141968413599643 0.8708002835064356 1.0443686597046429 0.8903562770072496 0.8747627840861099 1.0095074605051833 0.856020326338821
12 120 0.9060508942396639 0 0 0.9025697840098452 0.8336616757432763 0.8892500418932717 0.8496127521977749 1.0062255643566993 0.8694224706460217 0.8285200435114112 0.9874702690961485 0.8403810757630988
13 130 0.871933625410242 0 0 0.8603039890769658 0.8132990308142467 0.8745425099463829 0.7638727819617648 0.9513559516346582 0.8460922557174851 0.8027074278221621 0.9491600636079559 0.8208016504705313
98 980 0.6262171580109746 0 0 0.4472823447278359 0.5152243309811364 0.4655138669032717 0.69623471673944 0.5932363087144693 0.5915337377397019 0.39533811240760186 0.5811658847812013 0.7365823358082799
14 140 0.8236931735915153 0 0 0.8432631838849861 0.7764988935279084 0.8123181180763243 0.706463097521156 0.8905371428926335 0.7816724691510237 0.7452398159740271 0.9024703171412676 0.7769218529072532
15 150 0.8166967120209591 0 0 0.8407213538345264 0.7908525426193367 0.7954257864129928 0.6918560514022628 0.8849647425769068 0.7754875173605366 0.7349684388735838 0.8722516583569374 0.7477489355007727
16 160 0.7649620352298924 0 0 0.7872200355762329 0.7531165403517661 0.7395628011748652 0.6480060542108309 0.8425751475893828 0.693774063604792 0.6845630291483834 0.825050886815241 0.682775936513397
99 990 0.5793716885248109 0 0 0.4318461295231254 0.4743332939584547 0.4335758607424615 0.6237185339545697 0.5393263410372633 0.5746952918543551 0.3639165557137327 0.5580312427864487 0.6686212934231361
17 170 0.7408659288751773 0 0 0.7790675383304551 0.6976528705228654 0.7414517460115686 0.6566719447707642 0.8139211121984489 0.6518759131107797 0.6660825402880034 0.8020121676356178 0.6541563630665017
18 180 0.7095490424861112 0 0 0.7520909436696182 0.6555339104556549 0.7072219816808467 0.642397146213589 0.7451592015318376 0.6251183587844801 0.6464237008579374 0.766479276646293 0.5984075452842149
100 1000 0.5321732784785356 0 0 0.3882313020658749 0.4369098399181868 0.3957391221165615 0.5703978330901845 0.5071919818230258 0.520572083976009 0.3112898558531265 0.5122646472699282 0.6179368688473339
19 190 0.698958213256034 0 0 0.7254104269452707 0.6887214417757769 0.68305190594055 0.624313534558375 0.7282915611620497 0.618706939322271 0.6144166134920886 0.7628212228008525 0.5745724052275797
20 200 0.6796389009191893 0 0 0.7082420024904318 0.6583173047776049 0.658892149145771 0.5988601136557009 0.6861471285472356 0.5972204849786883 0.5972640191593571 0.7289633907049631 0.5835989013628182
21 210 0.6427892591199281 0 0 0.6446559152095149 0.6231469195270638 0.6167701579652591 0.5734626659515826 0.6366745587791065 0.5536338654746232 0.5341849839917758 0.698953709795429 0.548594367813978
101 1010 0.4861521495878929 0 0 0.35436141337801785 0.38853020675776695 0.36445278650381896 0.5217287864641671 0.46309512022969834 0.45707689648655986 0.2788798043975989 0.4541182122585105 0.5658037160862837
22 220 0.6157092139741205 0 0 0.6105603456258207 0.5956233547078379 0.588132171442311 0.5355273815207977 0.6028529001365431 0.5219768498790626 0.5140131835442959 0.6615027431851991 0.5151371924333507
23 230 0.607821814313848 0 0 0.5953570924130854 0.5974791050562366 0.6001813685846035 0.5072008784072671 0.6030370003318948 0.5085202054559664 0.49846162581449016 0.6544942324604468 0.507657031363035
24 240 0.6147043910099377 0 0 0.5979685864533747 0.6086255805554548 0.6163401584355013 0.5075850265797978 0.6068159618637443 0.49540867748262296 0.5114844579912734 0.6605414405703447 0.5343579246196225
102 1020 0.5027280234512735 0 0 0.36737885846773494 0.39781082205372426 0.395780121371381 0.5417649157092552 0.4857316823201897 0.4775484002415401 0.30338193328005486 0.49415443256007435 0.5899887637716842
25 250 0.587667591137599 0 0 0.5647349343624931 0.5851139144967963 0.5880366213526874 0.4917701652582487 0.5602589481819276 0.47216966893542717 0.4880394192464327 0.6255743253728824 0.5030199863167752
26 260 0.5235573501757221 0 0 0.5019817163710686 0.49562420296671567 0.5254816791944836 0.44205210760515756 0.5071967997874169 0.4190249599375353 0.43264439780167757 0.5538334085813222 0.4385058337366295
27 270 0.5171971459653515 0 0 0.4950678152219701 0.48929636618544037 0.5188453499322778 0.4332877581642245 0.5207129036266684 0.4275610888845609 0.4206874940058424 0.5468257439096682 0.43107327002485635
103 1030 0.5912246944661469 0 0 0.4307587293613794 0.4647321300709398 0.4578769043586839 0.6361486359670518 0.5718760301074434 0.5713104988374559 0.3654691932060212 0.5927324281136255 0.6962708033109868
28 280 0.5384764636098895 0 0 0.5132098375397144 0.4878074577562589 0.5384188154241986 0.4430908444553514 0.5427846060511464 0.46001761156114607 0.4304686372757384 0.5764057991605727 0.4516665503810777
29 290 0.5442636370214116 0 0 0.5116824694121825 0.49520644520047685 0.5592186266612263 0.4509062212557998 0.568219762433324 0.46112423197583574 0.4362022922949929 0.5928060508709911 0.45010314049983846
104 1040 0.6459287543671904 0 0 0.4789928436604281 0.4976495768945913 0.47928446489065935 0.6965491762876731 0.6223808146523456 0.607995017610116 0.3968859604089691 0.6417371831241997 0.7523664000227017
30 300 0.5894563693953169 0 0 0.55399357497712 0.5317843069623772 0.5998634617414578 0.4911641575914829 0.6182812103542604 0.5320609356268837 0.46020799408363244 0.6218130557807531 0.4787863263679254
31 310 0.6755473322627928 0 0 0.6357915872843035 0.6054542026640837 0.7435319526020033 0.5721632639026838 0.7278306211483186 0.6420105991454867 0.5211017359612065 0.6978486354395966 0.5488371515226511
32 320 0.6642898444590417 0 0 0.6326625119952795 0.5947671873232815 0.7376697603641436 0.5617869885838589 0.7242051153298913 0.6297469023351497 0.5093333043564042 0.6617305725967894 0.5276363887724385
105 1050 0.6291045036505633 0 0 0.47238820605489096 0.47935428130210644 0.4645623462303458 0.6719793655240232 0.6074131700912477 0.5881445478349187 0.3968001295522703 0.6215996073157488 0.7345895104554755
33 330 0.6593261794398444 0 0 0.6061347588750525 0.6108705514974133 0.7205864411302566 0.543302307828763 0.7136049909193137 0.6268925986878058 0.4901509528930783 0.6525869643834926 0.5277105986912586
34 340 0.6508300820923751 0 0 0.5810889284477819 0.6003494130958663 0.6936496878700102 0.547518302490584 0.7242696044163655 0.6222204197151876 0.4837355711673288 0.6632724912460857 0.5323482014203114
35 350 0.7367171573425302 0 0 0.6925268318065188 0.6890358864873035 0.7868917911829392 0.6380984452393386 0.8327008391819569 0.6931641442921616 0.5470797967002851 0.7727356152620054 0.6605145202865501
106 1060 0.5995106064037736 0 0 0.44980415127815626 0.44018236177936654 0.4423463191357723 0.6554904823035315 0.5616611756474272 0.5610247285807178 0.3644742003031133 0.5928396087962168 0.695867040144192
36 360 0.771067828560601 0 0 0.7251905295119992 0.7155000631365928 0.8301474688544662 0.6886255147235016 0.8497031601623211 0.7187785692995171 0.5544535207609032 0.8007619686706966 0.6969189926882496
37 370 0.8153002583786751 0 0 0.7568810380011458 0.8008104611923054 0.8600110731775186 0.7427455469350702 0.8846280169153345 0.756616365187658 0.5803822175919965 0.8517738946271403 0.7485764474426015
107 1070 0.6013774062674399 0 0 0.44430501822739366 0.44495593398047134 0.4419625441063994 0.629643718617707 0.5835518290853662 0.5454645000859782 0.3807529311660557 0.6091858566660007 0.70368099205396
38 380 0.7891700307733225 0 0 0.7250531217558528 0.735947761156104 0.8254110952867886 0.7476947381201026 0.8598478720987444 0.7422999370532337 0.5623868869869694 0.821484400563829 0.7000725559912478
39 390 0.8268684750795319 0 0 0.7659891794713596 0.7668418127977379 0.8569684728431696 0.7888733724628895 0.9093409412292405 0.7667736951745251 0.5794594182293278 0.8723212054127231 0.7373445554676329
40 400 0.8164671023140236 0 0 0.746757861560877 0.7463336288905876 0.8556701753895769 0.7872352418914529 0.9217104941381036 0.7552630527405954 0.5657756686463014 0.8768311270405628 0.7160232977314162
108 1080 0.5876847021310667 0 0 0.43124682836796885 0.4378337495391117 0.41485742450749497 0.6159955919204922 0.585246730360357 0.5365892858583835 0.357556130136632 0.5975586976953507 0.7005317986581044
41 410 0.8221994407720895 0 0 0.7667601140213799 0.7853277789384975 0.8647813230873809 0.8138202227860911 0.9510888010003243 0.7708744954902981 0.5554075115054228 0.8845369163957435 0.7146018979820709
42 420 0.8593314252465234 0 0 0.8273333051816933 0.8216545761454946 0.9138353106647116 0.8621136551651845 1.0449522350533564 0.7846385650294478 0.5603234532802267 0.8944753960327824 0.7454195080543987
109 1090 0.601719667133943 0 0 0.42905351964879557 0.4608035690237064 0.4189277766366581 0.6414935804645429 0.6073256316719625 0.5416669745972515 0.3716928442145007 0.6163359459995225 0.7466623328562307
110 1100 0.6149420620059606 0 0 0.42514167548961934 0.46294246221543117 0.42582206719616306 0.6605533911669978 0.6234995490699622 0.5115343171781856 0.37839938091741737 0.6192967677584911 0.7789686847218875
